name,ra,dec,distance_pc,ra_ssz,dec_ssz,distance_ssz_pc,xi,D_ssz,stretch_factor,phot_g_mean_mag,parallax
Star-13,316.7484792940004,38.76386244649797,3.496565257389728,316.7484792940004,38.76386244649797,6.993130514779456,1.0,0.5,2.0,4.766713,285.9949482957812
Star-14,280.6830708352289,59.638357907754816,3.5231101472943926,280.6830708352289,59.638357907754816,7.046220294588785,1.0,0.5,2.0,7.854393,283.8401180184389
Star-15,280.68308624583415,59.635145454818776,3.523139318605643,280.68308624583415,59.635145454818776,7.046278637211286,1.0,0.5,2.0,8.524704,283.8377678450057
Star-16,4.613226257557736,44.02478674398518,3.5624356913539748,4.613226257557736,44.02478674398518,7.1248713827079495,1.0,0.5,2.0,7.218567,280.706821579123
Star-17,4.625300681217554,44.02874451664357,3.5625891382907127,4.625300681217554,44.02874451664357,7.125178276581425,1.0,0.5,2.0,9.686646,280.6947310460246
Star-18,127.45009240230564,26.77328596508202,3.5810252189347667,127.45009240230564,26.77328596508202,7.162050437869533,1.0,0.5,2.0,12.167455,279.2496391012477
Star-19,330.8724078795965,-56.79725466122902,3.638438981826665,330.8724078795965,-56.79725466122902,7.27687796365333,1.0,0.5,2.0,4.322904,274.8431415216296
Star-20,26.009055057160104,-15.933680200693855,3.652170961142577,26.009055057160104,-15.933680200693855,7.304341922285154,1.0,0.5,2.0,3.3003998,273.80974511859966
Star-21,54.00339387736301,-44.51436231604776,3.674288427908632,54.00339387736301,-44.51436231604776,7.348576855817264,1.0,0.5,2.0,10.995456,272.16154083178225
Star-22,331.076452596564,-56.79381206688221,3.6946991407427134,331.076452596564,-56.79381206688221,7.389398281485427,1.0,0.5,2.0,18.030664,270.6580324694526
Star-23,18.13325425370941,-16.996154872479234,3.71668036033956,18.13325425370941,-16.996154872479234,7.43336072067912,1.0,0.5,2.0,10.436525,269.05730465038937
Star-24,111.85462844259372,5.209382701706996,3.786058930389869,111.85462844259372,5.209382701706996,7.572117860779738,1.0,0.5,2.0,8.576388,264.12689775460655
Star-25,43.26964247679057,16.86437381897744,3.831587320084787,43.26964247679057,16.86437381897744,7.663174640169574,1.0,0.5,2.0,12.263103,260.9884406804728
